category,title,rating,price_gbp,availability,price_inr
Mystery,Sharp Objects,4,47.82,True,5045.01
Mystery,"In a Dark, Dark Wood",1,19.63,True,2070.9649999999997
Mystery,The Past Never Ends,4,56.5,True,5960.75
Mystery,A Murder in Time,1,16.64,True,1755.52
Mystery,The Murder of Roger Ackroyd (Hercule Poirot #4),4,44.1,True,4652.55
Mystery,The Last Mile (Amos Decker #2),2,54.21,True,5719.155
Mystery,That Darkness (Gardiner and Renner #1),1,13.92,True,1468.56
Mystery,Tastes Like Fear (DI Marnie Rome #3),1,10.69,True,1127.7949999999998
Mystery,A Time of Torment (Charlie Parker #14),5,48.35,True,5100.925
Mystery,A Study in Scarlet (Sherlock Holmes #1),2,16.73,True,1765.015
Mystery,Poisonous (Max Revere Novels #3),3,26.8,True,2827.4
Mystery,Murder at the 42nd Street Library (Raymond Ambler #1),4,54.36,True,5734.98
Mystery,Most Wanted,3,35.28,True,3722.04
Mystery,Hide Away (Eve Duncan #20),1,11.84,True,1249.12
Mystery,Boar Island (Anna Pigeon #19),3,59.48,True,6275.139999999999
Mystery,The Widow,2,27.26,True,2875.9300000000003
Mystery,Playing with Fire,3,13.71,True,1446.4050000000002
Mystery,What Happened on Beale Street (Secrets of the South Mysteries #2),5,25.37,True,2676.5350000000003
Mystery,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),5,52.3,True,5517.65
Mystery,Delivering the Truth (Quaker Midwife Mystery #1),4,20.89,True,2203.895
Mystery,The Mysterious Affair at Styles (Hercule Poirot #1),4,24.8,True,2616.4
Mystery,In the Woods (Dublin Murder Squad #1),2,38.38,True,4049.09
Mystery,The Silkworm (Cormoran Strike #2),5,23.05,True,2431.775
Mystery,The Exiled,3,43.45,True,4583.975
Mystery,The Cuckoo's Calling (Cormoran Strike #1),1,19.21,True,2026.6550000000002
Mystery,Extreme Prey (Lucas Davenport #26),3,25.4,True,2679.7
Mystery,Career of Evil (Cormoran Strike #3),2,24.72,True,2607.96
Mystery,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),4,57.7,True,6087.35
Mystery,The Girl You Lost,5,12.29,True,1296.5949999999998
Mystery,The Girl In The Ice (DCI Erika Foster #1),3,15.85,True,1672.175
Mystery,Blood Defense (Samantha Brinkman #1),3,20.3,True,2141.65
Mystery,1st to Die (Women's Murder Club #1),1,53.98,True,5694.889999999999
Sequential Art,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5,52.29,True,5516.595
Sequential Art,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),1,16.28,True,1717.5400000000002
Sequential Art,This One Summer,4,19.49,True,2056.1949999999997
Sequential Art,The Nameless City (The Nameless City #1),4,38.16,True,4025.8799999999997
Sequential Art,"Saga, Volume 5 (Saga (Collected Editions) #5)",2,51.04,True,5384.72
Sequential Art,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",3,50.4,True,5317.2
Sequential Art,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",5,13.61,True,1435.855
Sequential Art,"Pop Gun War, Volume 1: Gift",1,18.97,True,2001.3349999999998
Sequential Art,Patience,3,10.16,True,1071.88
Sequential Art,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",4,15.44,True,1628.9199999999998
Sequential Art,orange: The Complete Collection 1 (orange: The Complete Collection #1),1,48.41,True,5107.254999999999
Sequential Art,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",2,46.91,True,4949.004999999999
Sequential Art,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",3,45.61,True,4811.855
Sequential Art,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),2,19.92,True,2101.5600000000004
Sequential Art,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",2,29.17,True,3077.4350000000004
Sequential Art,I am a Hero Omnibus Volume 1,3,54.63,True,5763.465
Sequential Art,"Giant Days, Vol. 2 (Giant Days #5-8)",2,22.11,True,2332.605
Sequential Art,Danganronpa Volume 1,4,51.99,True,5484.945000000001
Sequential Art,"Codename Baboushka, Volume 1: The Conclave of Death",4,36.72,True,3873.96
Sequential Art,Camp Midnight,4,17.08,True,1801.9399999999998
Sequential Art,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",2,37.92,True,4000.5600000000004
Sequential Art,The Shadow Hero (The Shadow Hero),1,33.14,True,3496.27
Sequential Art,"Fables, Vol. 1: Legends in Exile (Fables #1)",4,41.62,True,4390.91
Sequential Art,Batman: The Long Halloween (Batman),2,36.5,True,3850.75
Sequential Art,Batman: The Dark Knight Returns (Batman),5,15.38,True,1622.5900000000001
Sequential Art,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",4,37.34,True,3939.3700000000003
Sequential Art,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",1,53.9,True,5686.45
Sequential Art,Through the Woods,2,25.38,True,2677.5899999999997
Sequential Art,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),5,11.89,True,1254.395
Sequential Art,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",4,35.43,True,3737.865
Sequential Art,Robin War,3,47.82,True,5045.01
Sequential Art,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",2,25.48,True,2688.14
Sequential Art,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",2,38.39,True,4050.145
Sequential Art,Lowriders to the Center of the Earth (Lowriders in Space #2),2,51.51,True,5434.304999999999
Sequential Art,El Deafo,5,57.62,True,6078.91
Sequential Art,Batman: Europa,2,32.01,True,3377.055
Sequential Art,Art Ops Vol. 1,3,48.8,True,5148.4
Sequential Art,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",2,10.9,True,1149.95
Sequential Art,"Fruits Basket, Vol. 9 (Fruits Basket #9)",4,33.95,True,3581.7250000000004
Sequential Art,Roller Girl,5,14.1,True,1487.55
Sequential Art,"Fruits Basket, Vol. 7 (Fruits Basket #7)",1,19.57,True,2064.635
Sequential Art,"Fruits Basket, Vol. 6 (Fruits Basket #6)",4,20.96,True,2211.28
Sequential Art,"Death Note, Vol. 6: Give-and-Take (Death Note #6)",3,36.39,True,3839.145
Sequential Art,"Fruits Basket, Vol. 5 (Fruits Basket #5)",1,16.33,True,1722.8149999999998
Sequential Art,"Death Note, Vol. 5: Whiteout (Death Note #5)",1,52.41,True,5529.254999999999
Sequential Art,"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",2,27.88,True,2941.3399999999997
Sequential Art,"Fruits Basket, Vol. 4 (Fruits Basket #4)",4,50.44,True,5321.42
Sequential Art,"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",3,14.41,True,1520.255
Sequential Art,"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",5,55.55,True,5860.525
Sequential Art,"Saga, Volume 3 (Saga (Collected Editions) #3)",5,21.57,True,2275.635
Sequential Art,Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),3,43.63,True,4602.965
Sequential Art,Persepolis: The Story of a Childhood (Persepolis #1-2),1,39.13,True,4128.215
Sequential Art,Original Fake,3,31.45,True,3317.975
Sequential Art,"Grayson, Vol 3: Nemesis (Grayson #3)",1,42.72,True,4506.96
Sequential Art,"Fruits Basket, Vol. 3 (Fruits Basket #3)",2,45.17,True,4765.435
Sequential Art,"Black Butler, Vol. 1 (Black Butler #1)",1,49.31,True,5202.205
Sequential Art,Awkward,2,38.02,True,4011.11
Sequential Art,"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",1,54.81,True,5782.455
Sequential Art,"Saga, Volume 2 (Saga (Collected Editions) #2)",3,11.75,True,1239.625
Sequential Art,"Fruits Basket, Vol. 2 (Fruits Basket #2)",5,11.64,True,1228.02
Sequential Art,"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",4,18.51,True,1952.805
Sequential Art,"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",2,36.52,True,3852.86
Sequential Art,"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",3,54.12,True,5709.66
Sequential Art,The Complete Maus (Maus #1-2),3,10.64,True,1122.52
Sequential Art,"Skip Beat!, Vol. 01 (Skip Beat! #1)",3,42.12,True,4443.66
Sequential Art,"Saga, Volume 1 (Saga (Collected Editions) #1)",1,28.48,True,3004.64
Sequential Art,"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",5,46.96,True,4954.28
Sequential Art,"Paper Girls, Vol. 1 (Paper Girls #1-5)",4,21.71,True,2290.405
Sequential Art,"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",3,29.87,True,3151.2850000000003
Sequential Art,"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",4,39.39,True,4155.645
Sequential Art,"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",3,45.24,True,4772.820000000001
Sequential Art,"Giant Days, Vol. 1 (Giant Days #1-4)",4,56.76,True,5988.179999999999
Sequential Art,"Fruits Basket, Vol. 1 (Fruits Basket #1)",5,40.28,True,4249.54
Sequential Art,"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",5,34.65,True,3655.575
Sequential Art,"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",4,57.06,True,6019.83
Romance,Chase Me (Paris Nights #2),5,25.27,True,2665.985
Romance,Black Dust,5,34.53,True,3642.915
Romance,Her Backup Boyfriend (The Sorensen Family #1),1,33.97,True,3583.835
Romance,First and First (Five Boroughs #3),4,15.97,True,1684.835
Romance,Fifty Shades Darker (Fifty Shades #2),1,21.96,True,2316.78
Romance,The Wedding Dress,1,24.12,True,2544.6600000000003
Romance,Suddenly in Love (Lake Haven #1),2,55.99,True,5906.945000000001
Romance,Something More Than This,4,16.24,True,1713.32
Romance,Doing It Over (Most Likely To #1),3,35.61,True,3756.855
Romance,The Wedding Pact (The O'Malleys #2),3,32.61,True,3440.355
Romance,Hold Your Breath (Search and Rescue #1),1,28.82,True,3040.51
Romance,Dirty (Dive Bar #1),4,40.83,True,4307.565
Romance,Take Me Home Tonight (Rock Star Romance #3),3,53.98,True,5694.889999999999
Romance,Off the Hook (Fishing for Trouble #1),3,47.67,True,5029.185
Romance,A Gentleman's Position (Society of Gentlemen #3),5,14.75,True,1556.125
Romance,"Sit, Stay, Love",3,20.9,True,2204.95
Romance,A Girl's Guide to Moving On (New Beginnings #2),1,31.3,True,3302.15
Romance,The Perfect Play (Play by Play #1),3,59.99,True,6328.945000000001
Romance,Dark Lover (Black Dagger Brotherhood #1),1,12.87,True,1357.7849999999999
Romance,Changing the Game (Play by Play #2),3,13.38,True,1411.5900000000001
Romance,A Walk to Remember,1,56.43,True,5953.365
Romance,The Purest Hook (Second Circle Tattoos #3),1,12.25,True,1292.375
Romance,The Obsession,1,45.43,True,4792.865
Romance,Reservations for Two,3,11.1,True,1171.05
Romance,Best of My Love (Fool's Gold #20),2,27.41,True,2891.755
Romance,Where Lightning Strikes (Bleeding Stars #3),3,39.77,True,4195.735000000001
Romance,This One Moment (Pushing Limits #1),1,48.71,True,5138.905
Romance,"Rhythm, Chord & Malykhin",2,28.34,True,2989.87
Romance,My Perfect Mistake (Over the Top #1),2,38.92,True,4106.06
Romance,Listen to Me (Fusion #1),3,58.99,True,6223.445000000001
Romance,Imperfect Harmony,4,34.74,True,3665.07
Romance,Fighting Fate (Fighting #6),3,39.24,True,4139.820000000001
Romance,Deep Under (Walker Security #1),5,47.09,True,4967.995000000001
Romance,Charity's Cross (Charles Towne Belles #4),1,41.24,True,4350.820000000001
Romance,Bounty (Colorado Mountain #7),4,37.26,True,3930.93
